stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
EZZLINe,4451,EZZARD CHARLES DR & LINN ST,,39.109234,-84.527984,1,,,,,0
EZZLINw,4452,EZZARD CHARLES DR & LINN ST,,39.109287,-84.52759,1,,,,,0
MADDAWi,8932,MADEIRA DAWSON RD LAYOVER,DAWSON RD & MONTGOMERY RD,39.187794,-84.36417,2,,,,,0
MONKENi,8621,MONTGOMERY RD & KENWOOD RD,,39.198692,-84.381424,2,,,,,0
MONKNNi,7843,MONTGOMERY RD & KENNEDY AVE,,39.188972,-84.41324,1,,,,,0
MONLESi,7348,MONTGOMERY RD & LESTER RD,,39.180932,-84.431806,1,,,,,0
SYCCOUi,1153,SYCAMORE ST & COURT ST,SYCAMORE ST & CENTRAL PKWY,39.106854,-84.509507,1,,,,,0
MONLESo,7347,MONTGOMERY RD & LESTER RD,,39.180816,-84.431689,1,,,,,0
MONMCHo,7842,MONTGOMERY RD & MCHUGH PL,,39.188963,-84.412825,1,,,,,0
MONKENo,8620,MONTGOMERY RD & KENWOOD RD,,39.198584,-84.381165,2,,,,,0
MONPFEi,9030,MONTGOMERY RD & PFEIFFER RD,,39.250228,-84.344539,2,,,,,0
BLUCOOi,8847,BLUE ASH AVE & COOPER RD,,39.231465,-84.378906,2,,,,,0
BLUCOOo,8846,BLUE ASH AVE & COOPER RD,,39.231279,-84.37882,2,,,,,0
MONPFEo,9029,MONTGOMERY RD & PFEIFFER RD,,39.248855,-84.344647,2,,,,,0
RAYWALi,8356,UC BLUE ASH,PLAINFIELD RD & WICKLOW AVE,39.233855,-84.398972,2,,,,,0
MONROSi,6758,MONTGOMERY RD & ROSS AVE,MONTGOMERY RD & BUXTON AVE,39.168034,-84.452956,1,,,,,0
MONDANi,6463,MONTGOMERY RD & DANA AVE,,39.146446,-84.467832,1,,,,,0
PEECORi,5565,PEEBLES CORNER,GILBERT AVE & E MCMILLAN ST,39.125455,-84.490774,1,,,,,0
REACITi,1172,READING RD & CITY STEPS,,39.11249,-84.50302,1,,,,,0
MONDANo,6461,MONTGOMERY RD & DANA AVE,MONTGOMERY RD & RUTLAND AVE,39.146139,-84.467857,1,,,,,0
MONROSo,6759,MONTGOMERY RD & ROSS AVE,,39.167826,-84.452828,1,,,,,0
HARWESi,3618,HARRISON AVE & WESTWOOD AVE,,39.125278,-84.547773,1,,,,,0
HARQUEo,5272,HARRISON AVE & QUEEN CITY AVE,,39.12581,-84.548088,1,,,,,0
DRAWAYi,8155,DRAGON WAY LAYOVER,Wooster Rd & Trade (EOL),39.140151,-84.394174,2,,,,,0
KENLOOi,8555,KENWOOD LOOP LAYOVER,KENWOOD RD & MADISON RD,39.160454,-84.385367,1,,,,,0
RIDBROi,7524,RIDGE RD & BROTHERTON RD,RIDGE AVE & MARBURG AVE,39.153522,-84.423075,1,,,,,0
MADBROi,7533,MADISON RD & BROTHERTON RD,MADISON RD & APPLETON ST,39.154361,-84.428257,1,,,,,0
MADOBSi,6723,MADISON RD & OBSERVATORY AVE,,39.138194,-84.455128,1,,,,,0
8THWALi,1077,8TH ST & WALNUT ST,E 8TH ST & WALNUT ST,39.104836,-84.511653,1,,,,,0
MADOBSo,6724,MADISON RD & OBSERVATORY AVE,MADISON RD & DANA AVE,39.138735,-84.453776,1,,,,,0
MADBROo,7532,MADISON RD & BROTHERTON RD,MADISON RD & APPLETON ST,39.154467,-84.427738,1,,,,,0
RIDMAPo,7525,RIDGE RD & MAPLE DR,RIDGE AVE & BROTHERTON RD,39.153367,-84.422888,1,,,,,0
KENLOOo,8558,on KENWOOD at LOOP LAYOVER,KENWOOD RD & SIERRA ST,39.16078,-84.385693,1,,,,,0
HILTOPi,3962,HILLTOP PLAZA LAYOVER,US 127,39.241591,-84.5469,2,,,,,0
WINSTRi,5111,WINNESTE & STRAND LN,WINNESTE AVE & STRAND LN,39.187349,-84.514708,1,,,,,0
BANDALi,4057,BANK ST & DALTON AVE,,39.119746,-84.535646,1,,,,,0
WINSTRo,5108,WINNESTE AVE & STRAND LN,,39.187141,-84.514534,1,,,,,0
NORDALo,4262,NORTH BEND RD & DALY RD,W NORTH BEND RD & TAHITI DR,39.20217,-84.531907,1,,,,,0
HAMMERi,3967,HAMILTON AVE & MEREDITH DR,,39.244088,-84.547276,2,,,,,0
CLIMCMo,4940,CLIFTON AVE & MCMILLAN ST,CLIFTON AVE & W MCMILLAN ST,39.127705,-84.519172,1,,,,,0
